"rank","first","last","Pos","Team","year","init_rank"
1,"antonio","brown","WR","PIT",2016,1
2,"odell","beckham","WR","NYG",2016,2
3,"adrian","peterson","RB","MIN",2016,1
4,"julio","jones","WR","ATL",2016,3
5,"todd","gurley","RB","LA",2016,2
6,"ezekiel","elliott","RB","DAL",2016,3
7,"deandre","hopkins","WR","HOU",2016,4
8,"david","johnson","RB","ARI",2016,4
9,"devonta","freeman","RB","ATL",2016,5
10,"a.j.","green","WR","CIN",2016,5
11,"rob","gronkowski","TE","NE",2016,1
12,"le'veon","bell","RB","PIT",2016,6
13,"allen","robinson","WR","JAC",2016,6
14,"lamar","miller","RB","HOU",2016,7
15,"dez","bryant","WR","DAL",2016,7
16,"doug","martin","RB","TB",2016,8
17,"jordy","nelson","WR","GB",2016,8
18,"mark","ingram","RB","NO",2016,9
19,"brandon","marshall","WR","NYJ",2016,9
20,"eddie","lacy","RB","GB",2016,10
21,"alshon","jeffery","WR","CHI",2016,10
22,"lesean","mccoy","RB","BUF",2016,11
23,"mike","evans","WR","TB",2016,11
24,"sammy","watkins","WR","BUF",2016,12
25,"jonathan","stewart","RB","CAR",2016,12
26,"brandin","cooks","WR","NO",2016,13
27,"carlos","hyde","RB","SF",2016,13
28,"jordan","reed","TE","WAS",2016,2
29,"amari","cooper","WR","OAK",2016,14
30,"demaryius","thomas","WR","DEN",2016,15
31,"keenan","allen","WR","SD",2016,16
32,"c.j.","anderson","RB","DEN",2016,14
33,"jamaal","charles","RB","KC",2016,15
34,"thomas","rawls","RB","SEA",2016,16
35,"cam","newton","QB","CAR",2016,1
36,"t.y.","hilton","WR","IND",2016,17
37,"julian","edelman","WR","NE",2016,18
38,"doug","baldwin","WR","SEA",2016,19
39,"jarvis","landry","WR","MIA",2016,20
40,"matt","forte","RB","NYJ",2016,17
41,"jeremy","hill","RB","CIN",2016,18
42,"jeremy","maclin","WR","KC",2016,21
43,"randall","cobb","WR","GB",2016,22
44,"eric","decker","WR","NYJ",2016,23
45,"golden","tate","WR","DET",2016,24
46,"donte","moncrief","WR","IND",2016,25
47,"emmanuel","sanders","WR","DEN",2016,26
48,"greg","olsen","TE","CAR",2016,3
49,"aaron","rodgers","QB","GB",2016,2
50,"russell","wilson","QB","SEA",2016,3
51,"kelvin","benjamin","WR","CAR",2016,27
52,"michael","floyd","WR","ARI",2016,28
53,"larry","fitzgerald","WR","ARI",2016,29
54,"john","brown","WR","ARI",2016,30
55,"latavius","murray","RB","OAK",2016,19
56,"ryan","mathews","RB","PHI",2016,20
57,"demarco","murray","RB","TEN",2016,21
58,"jeremy","langford","RB","CHI",2016,22
59,"matt","jones","RB","WAS",2016,23
60,"delanie","walker","TE","TEN",2016,4
61,"andrew","luck","QB","IND",2016,4
62,"melvin","gordon","RB","SD",2016,24
63,"duke","johnson","RB","CLE",2016,25
64,"danny","woodhead","RB","SD",2016,26
65,"frank","gore","RB","IND",2016,27
66,"rashad","jennings","RB","NYG",2016,28
67,"t.j.","yeldon","RB","JAC",2016,29
68,"drew","brees","QB","NO",2016,5
69,"ben","roethlisberger","QB","PIT",2016,6
70,"jordan","matthews","WR","PHI",2016,31
71,"desean","jackson","WR","WAS",2016,32
72,"marvin","jones","WR","DET",2016,33
73,"giovani","bernard","RB","CIN",2016,30
74,"arian","foster","RB","MIA",2016,31
75,"ameer","abdullah","RB","DET",2016,32
76,"chris","ivory","RB","JAC",2016,33
77,"derrick","henry","RB","TEN",2016,34
78,"carson","palmer","QB","ARI",2016,7
79,"tom","brady","QB","NE",2016,8
80,"allen","hurns","WR","JAC",2016,34
81,"michael","crabtree","WR","OAK",2016,35
82,"devante","parker","WR","MIA",2016,36
83,"tyler","lockett","WR","SEA",2016,37
84,"kevin","white","WR","CHI",2016,38
85,"sterling","shepard","WR","NYG",2016,39
86,"torrey","smith","WR","SF",2016,40
87,"stefon","diggs","WR","MIN",2016,41
88,"eli","manning","QB","NYG",2016,9
89,"blake","bortles","QB","JAC",2016,10
90,"philip","rivers","QB","SD",2016,11
91,"travis","kelce","TE","KC",2016,5
92,"coby","fleener","TE","NO",2016,6
93,"tyler","eifert","TE","CIN",2016,7
94,"deangelo","williams","RB","PIT",2016,35
95,"bilal","powell","RB","NYJ",2016,36
96,"josh","gordon","WR","CLE",2016,42
97,"willie","snead","WR","NO",2016,43
98,"vincent","jackson","WR","TB",2016,44
99,"tavon","austin","WR","LA",2016,45
100,"jay","ajayi","RB","MIA",2016,37
101,"devin","funchess","WR","CAR",2016,46
102,"theo","riddick","RB","DET",2016,38
103,"charles","sims","RB","TB",2016,39
104,"isaiah","crowell","RB","CLE",2016,40
105,"james","starks","RB","GB",2016,41
106,"legarrette","blount","RB","NE",2016,42
107,"spencer","ware","RB","KC",2016,43
108,"terrance","west","RB","BAL",2016,44
109,"gary","barnidge","TE","CLE",2016,8
110,"zach","ertz","TE","PHI",2016,9
111,"antonio","gates","TE","SD",2016,10
112,"corey","coleman","WR","CLE",2016,47
113,"travis","benjamin","WR","SD",2016,48
114,"michael","thomas","WR","NO",2016,49
115,"will","fuller","WR","HOU",2016,50
116,"tajae","sharpe","WR","TEN",2016,51
117,"mike","wallace","WR","BAL",2016,52
118,"mohamed","sanu","WR","ATL",2016,53
119,"phillip","dorsett","WR","IND",2016,54
120,"chris","hogan","WR","NE",2016,55
121,"steve","smith","WR","BAL",2016,56
122,"tyler","boyd","WR","CIN",2016,57
123,"tevin","coleman","RB","ATL",2016,45
124,"devontae","booker","RB","DEN",2016,46
125,"darren","sproles","RB","PHI",2016,47
126,"james","white","RB","NE",2016,48
127,"markus","wheaton","WR","PIT",2016,58
128,"kenny","stills","WR","MIA",2016,59
129,"jerick","mckinnon","RB","MIN",2016,49
130,"christine","michael","RB","SEA",2016,50
131,"tyrod","taylor","QB","BUF",2016,12
132,"kirk","cousins","QB","WAS",2016,13
133,"derek","carr","QB","OAK",2016,14
134,"marcus","mariota","QB","TEN",2016,15
135,"kenneth","dixon","RB","BAL",2016,51
136,"julius","thomas","TE","JAC",2016,11
137,"zach","miller","TE","CHI",2016,12
138,"martellus","bennett","TE","NE",2016,13
139,"jimmy","graham","TE","SEA",2016,14
140,"eric","ebron","TE","DET",2016,15
148,"stephen","gostkowski","K","NE",2016,1
152,"steven","hauschka","K","SEA",2016,2
153,"dan","bailey","K","DAL",2016,3
154,"justin","tucker","K","BAL",2016,4
155,"adam","vinatieri","K","IND",2016,5
156,"mason","crosby","K","GB",2016,6
157,"graham","gano","K","CAR",2016,7
158,"blair","walsh","K","MIN",2016,8
159,"chandler","catanzaro","K","ARI",2016,9
160,"matt","prater","K","DET",2016,10
161,"alfred","morris","RB","DAL",2016,52
162,"shane","vereen","RB","NYG",2016,53
163,"javorius","allen","RB","BAL",2016,54
164,"chris","thompson","RB","WAS",2016,55
165,"kamar","aiken","WR","BAL",2016,60
166,"terrelle","pryor","WR","CLE",2016,61
167,"breshad","perriman","WR","BAL",2016,62
168,"eli","rogers","WR","PIT",2016,63
169,"matthew","stafford","QB","DET",2016,16
170,"andy","dalton","QB","CIN",2016,17
171,"jameis","winston","QB","TB",2016,18
